Airfoils,upper0.75c,lower0.75c,t0.75c,AoF_Cl0.5,Cd,Cl/Cd
NASA/LANGLEY LS(1)-0013,0.03429,-0.03429,0.06858,4,0.01814,27.56339581
NASA/LANGLEY LS(1)-0417MOD,0.05956,-0.02148,0.08104,-0.5,0.01949,25.65418163
NASA/LANGLEY LS(1)-0417 (GA(W)-1),0.06517,-0.02461,0.08978,-1,0.01878,26.62406816
NASA/LANGLEY LS(1)-0421,0.0753,-0.03553,0.11083,-0.8,0.02514,19.88862371
LWK 79-100,0.01664,-0.01664,0.03328,4.1,0.01446,34.57814661
LWK 80-080,0.02329,-0.02329,0.04658,4.2,0.01015,49.26108374
LWK 80-120/K25,0.03409,-0.03409,0.06818,4,0.01139,43.89815628
LWK 80-150/K25,0.0416,-0.0416,0.0832,3.9,0.00981,50.96839959
GOE 14K AIRFOIL,0.0694,-0.0279,0.0973,0.9,0.01262,39.61965135
GOE 703,0.0605,-0.05275,0.11325,2.8,0.01436,34.8189415
FX 83-W-227,0.0831,-0.03699,0.12009,-0.1,0.01444,34.62603878
FX 84-W-218,0.07101,-0.03249,0.1035,0.8,0.01567,31.90810466
MH 150  23.89%,0.076823,0.003616,0.073207,-3.2,0.01674,29.86857826
EPPLER 858,0.07957,-0.00687,0.08644,-3,0.01118,44.72271914
AH 93-W-215,0.06404,-0.03069,0.09473,-0.2,0.01303,38.37298542
EPPLER 520,0.03185,-0.03185,0.0637,3.9,0.01094,45.70383912
WORTMANN FX L V-152,0.0296,-0.0296,0.0592,3.6,0.01337,37.39715782
EPPLER E837 HYDROFOIL,0.03548,-0.03548,0.07096,3.9,0.01028,48.6381323
MH 91  14.98%,0.030134,-0.032803,0.062937,3.9,0.01078,46.38218924
 NACA-M12,0.0439,-0.02505,0.06895,2.7,0.01565,31.94888179
NACA M6,0.0382,-0.03155,0.06975,4.3,0.01304,38.34355828
NACA M15,0.04996,-0.01951,0.06947,1.3,0.016,31.25
NACA M18,0.047275,-0.022075,0.06935,2.2,0.01627,30.7314075
NACA M21,0.0535,-0.01605,0.06955,0.8,0.01544,32.38341969
NACA M24,0.0482588,-0.020638,0.0688968,1.7,0.01671,29.92220227
NACA M27,0.057544,-0.0122282,0.0697722,0.2,0.01792,27.90178571
NACA M3,0.0342,-0.0342,0.0684,4.1,0.01417,35.2858151
NACA/Munk M6 (85%),0.03247,-0.0268175,0.0592875,3.6,0.01272,39.3081761
MARSKE XM-1D AIRFOIL (F14-3.0),0.02300985,-0.0296854,0.05269525,3.6,0.01111,45.00450045
Marsden,0.108732275,0.0156388,0.093093475,-10.5,0.02382,20.99076406
MB253515 15.0% smoothed,0.05095,-0.02669,0.07764,1.8,0.01089,45.91368228
RONCZ LOW DRAG FLYING WING ,0.0353359,-0.028541759,0.063877659,3.8,0.01888,26.48305085
MARSKE MONARCH AIRFOIL (NACA 43012A),0.0307,-0.0317,0.0624,3.1,0.01117,44.76275739
MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24112 HYBRID),0.0307,-0.03145,0.06215,3.2,0.01067,46.86035614
MARSKE PIONEER IA AIRFOIL (NACA 23112/43012A HYBRID),0.0305,-0.0309,0.0614,3.3,0.01036,48.26254826
MH 102  16.99%,0.051190014,-0.0166515,0.067841514,0.9,0.01428,35.0140056
MH 104  15.28%,0.03384948,-0.027239,0.06108848,3.3,0.01486,33.6473755
MH 106  13.07%,0.024975363,-0.027223569,0.052198932,4.1,0.01131,44.2086649
MH 112,0.089487559,0.0178205,0.071667059,-4.8,0.01521,32.8731098
MH 120  11.57%,0.04656949,-0.01575235,0.06232184,1.6,0.01173,42.62574595
MH 150  23.89%,0.083068207,0.00498677,0.078081437,-3.2,0.01674,29.86857826
MH 200  12.97%,0.051490223,-0.017554189,0.069044412,0.7,0.01065,46.94835681
MH 93  15.98%,0.030518698,-0.0399688,0.070487498,4.1,0.01134,44.09171076
MH 95  15.86%,0.056622596,-0.034189589,0.090812185,1.3,0.00976,51.2295082
MH 25  9.98%,0.045523782,-0.02669298,0.072216762,2.5,0.01375,36.36363636
MH 27  11.99%,0.056089,-0.03545651,0.09154551,2.4,0.01025,48.7804878
MH 78  14.47%,0.021633145,-0.030838106,0.052471251,3.9,0.01032,48.4496124
MH 70  11.08%,0.039482078,-0.007153305,0.046635383,1.3,0.00945,52.91005291
MH 61 10.26%,0.024327703,-0.016882086,0.041209789,4.1,0.0093,53.76344086
Falcon,0.0413,-0.0322,0.0735,3.1,0.01564,31.96930946
Fage & Collins 4,0.0764,0,0.0764,-1.6,0.01121,44.60303301
FAUVEL 14% AIRFOIL,0.0219,-0.0333,0.0552,4,0.01286,38.88024883
WORTMANN FX 05-188 AIRFOIL,0.06878,-0.02043,0.08921,-1.3,0.01188,42.08754209
WORTMANN FX 3 AIRFOIL,0.10366,-0.02042,0.12408,-2.5,0.02098,23.83222116
FX 71-L-150/20 AIRFOIL,0.02527,-0.02527,0.05054,4,0.0108,46.2962963
FX 67-K-170/17 AIRFOIL,0.07233,-0.01572,0.08805,-1.1,0.01364,36.6568915
WORTMANN FX 69-274,0.08429,-0.05129,0.13558,3.4,0.01601,31.23048095
FX 78-PK-188/20,0.06757,-0.03586,0.10343,1.3,0.01537,32.53090436
FX 76-MP-160,0.08442,0.00575,0.07867,-4.5,0.01332,37.53753754
FX 75-VG-166/22,0.05289,-0.03634,0.08923,0.9,0.01129,44.28697963
FX 76-MP-120,0.0843,0.02357,0.06073,-4.9,0.01277,39.15426782
WORTMANN FX 75-193,0.07839,-0.01229,0.09068,-2.3,0.01327,37.67897513
FX 61-140 AIRFOIL,0.05,-0.00326,0.05326,-1.5,0.01326,37.70739065
WORTMANN FX 60-126/1 AIRFOIL,0.05295,0.01106,0.04189,-1.7,0.01309,38.19709702
FX 61-147 AIRFOIL,0.05882,-0.00115,0.05997,-2.6,0.01355,36.900369
FX LIII-142 K 25 AIRFOIL,0.026,-0.026,0.052,-4,0.0125,40
FX 84-W-127,0.05271,-0.00926,0.06197,0.5,0.01218,41.05090312
FX 79-L-120,0.02438,-0.02438,0.04876,-4,0.01041,48.03073967
WORTMANN FX 75-141,0.05921,-0.00143,0.06064,-1.7,0.01062,47.08097928
FX 71-L-150/25 AIRFOIL,0.02771,-0.02771,0.05542,4,0.01157,43.21521175
FX 63-120 AIRFOIL,0.0632,0.0224,0.0408,-3.6,0.01039,48.12319538
FX 61-147 AIRFOIL,0.05882,-0.00115,0.05997,-2.6,0.01355,36.900369
